Name,Title,Rating,Comments
Dharmendra Kushwaha ,Worth every penny,5,Nice MobREAD MORE
Chandan  Mandal,Simply awesome,5,OsmREAD MORE
Adarsh  Sharma,Best in the market!,5,moderateREAD MORE
Srinu Gurram,Nice,5,Charger cable pin cap looseREAD MORE
Mukesh Goyal,Mind-blowing purchase,4,BestREAD MORE
Rajesh Rash,Awesome,5,The display is absolutely crazy and also I can say that the haptics of the phone is super smooth but only concerned is that image editing ai is not good as SamsungREAD MORE
Aditya Jaiswal,Perfect product!,5,Guys see! If u are someone who want to take good photos then just go for it .READ MORE
Flipkart Customer,Worth every penny,5,Best product if you want securityREAD MORE
SURAJ K,Perfect product!,5,Product delivery is very good  and. Also new phone always embraces youREAD MORE
Flipkart Customer,Highly recommended,5,White colour is best after golden colourREAD MORE
Gourav garg,Just wow!,5,Awesome productREAD MORE
Svs  Pavan,Just wow!,4,"Worthy buy, just go for itREAD MORE"
Durgaprasad Setti,Nice product,5,Very goodREAD MORE
Flipkart Customer,Perfect product!,5,Nice productREAD MORE
KAJAL,Fabulous!,4,Thank you FlipkartREAD MORE
